peg_number,duration_s,mean_velocity,max_velocity,mean_acceleration,path_length,frame_start,frame_end
1,1.9,0.0849,5.4025,1.2715,0.842,189,246
2,1.533,0.0828,0.1985,0.3245,0.1542,246,292
3,1.433,0.086,0.2129,0.3014,0.1498,292,335
4,1.3,0.1048,0.4699,0.5141,0.17,335,374
5,1.233,0.1675,0.3849,0.6243,0.2462,374,411
6,1.3,0.0504,0.1188,0.1245,0.0863,411,450
7,1.467,0.1036,0.1935,0.3007,0.1845,450,494
