peg_number,duration_s,mean_velocity,max_velocity,mean_acceleration,path_length,frame_start,frame_end
1,1.267,0.0807,5.4987,1.25,0.7711,195,233
2,2.2,0.0742,0.2119,0.2639,0.199,233,299
3,1.367,0.0505,0.1196,0.1656,0.0816,299,340
4,1.033,0.0584,0.1229,0.2243,0.0745,340,371
5,2.0,0.074,0.1845,0.2234,0.1794,371,431
6,1.9,0.1173,0.3531,0.4755,0.2712,431,488
7,1.567,0.1105,0.2235,0.3613,0.2075,488,535
8,2.167,0.0695,0.1553,0.2297,0.1794,535,600
